handle,title,body,vendor,type,tags,published,option1Name,option1Value,option2Name,option2Value,option3Name,option3Value,variantSKU,variantGrams,variantInventoryTracker,variantInventoryPolicy,variantFulfillmentService,variantPrice,variantCompareAtPrice,variantRequiresShipping,variantTaxable,variantBarcode,imageSrc,imagePosition,imageAltText,giftCard,seoTitle,seoDescription,googleShoppingGoogleProductCategory,googleShoppingGender,googleShoppingAgeGroup,googleShoppingMPN,googleShoppingAdWordsGrouping,googleShoppingAdWordsLabels,googleShoppingCondition,googleShoppingCustomProduct,googleShoppingCustomLabel0,googleShoppingCustomLabel1,googleShoppingCustomLabel2,googleShoppingCustomLabel3,googleShoppingCustomLabel4,variantImage,variantWeightUnit,variantTaxCode,costperitem,status
copy-of-death-machine-dad-hat,Death Machine Dad Hat,"<p><span class=""key"">Imagine a Death Machine neatly embroidered on a YP CLASSICS DAD CAP. For fans of Death Machine we offer this hat. </span></p>
<p><span class=""key"">Contents: </span><span class=""value"">100% Cotton (Green Camo - 65% Polyester / 35% Cotton)</span></p>
<div class=""clear"">
<span class=""key"">Sizes: </span><span class=""value"">OSFA</span>
</div>
<div class=""clear""></div>
<span class=""key"">Additional Features:</span><span class=""value"">• Trendy dad cap • Unstructured • Antique brass buckle closure • Matching undervisor, 4-row stitching on visor</span>",Super Happytime Death Machine,Hat,Dad Hat,true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/1714/2171/products/dmhat_82318bb1-ff91-4225-b610-3fad2f1f8599.jpg?v=1600396499,1,,false,,,,,,,,,,,,,,,,,lb,,12.00,active
shdm-logo-tee-vintage-black,SHDM LOGO TEE - Vintage Black,"<p><strong>Grants +1 Agility +2 Constitution and Protection from Cold. For fans of logo tees we offer this shirt. Magical Powers surge through you as you purchase this most excellent shirt. Accurate and incredibly boring information is listed below. Choose Wisely. </strong></p>
<p><span>This updated essential unisex jersey t-shirt fits like a well-loved favorite, featuring a crew neck, short sleeves and designed with superior Airlume combed and ring-spun cotton.</span><br><br>Features: Side-seamed. Retail fit. Unisex sizing. Shoulder taping.<br><br>Solid Colors: <span>100% Airlume combed and ring-spun cotton, 32 single 4.2 oz. (Ash - 99% Airlume combed and ring-spun cotton, 1% poly)</span></p>
<p><img src=""//cdn.shopify.com/s/files/1/1714/2171/files/UNISEX_XS-4XL_a6dc02a8-80fb-471b-b1d7-e7676092e4e1_large.jpg?v=1565055851"" alt=""""> </p>
<p><strong><em>100% NO SWEATSHOPS &amp; ECO-FRIENDLY PRODUCTION</em></strong></p>
<p> </p>",Super Happytime Death Machine,"","",true,Size,SMALL,,,,,,0.0,shopify,deny,manual,25.00,,true,true,,https://cdn.shopify.com/s/files/1/1714/2171/products/Artboard2copy25Year0.jpg?v=1600393599,1,,false,,,,,,,,,,,,,,,,,lb,,12.88,active
shdm-logo-tee-vintage-black,,,,,,,,MEDIUM,,,,,,0.0,shopify,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,12.88,
shdm-logo-tee-vintage-black,,,,,,,,LARGE,,,,,,0.0,shopify,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,12.88,
shdm-logo-tee-vintage-black,,,,,,,,EXTRA LARGE,,,,,,0.0,shopify,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,12.88,
flowers-for-a-mr-death-machine,Flowers for Mr. Death Machine,"<p><strong>There is a Knocking at the door....</strong><strong>You see a small man holding a neatly wrapped package and a bouquet of red flowers "" For Mr. Death Machine..."" He states. ""Thank You"" you reply. You close the door and open the package to reveal an oddly in style shirt. You look at the tag and think this should fit nicely. Who is this Mr. </strong><b>Death Machine? You see a note it reads:</b> <strong>Grants +3 Dexterity +2 Charisma and Protection from Cold. For fans of Death Machine we offer this shirt. -SHDM</strong></p>
<p><strong> Accurate and incredibly boring information is listed below. Choose wisely. </strong></p>
<p> </p>
<p>This updated essential unisex jersey t shirt fits like a well-loved favorite, featuring a crew neck, short sleeves and designed with superior Airlume combed and ring-spun cotton.</p>
<p><br>Features: Side-seamed. Retail fit. Unisex sizing. Shoulder taping.<br><br>Solid Colors: <span>100% Airlume combed and ring-spun cotton, 32 single 4.2 oz. (Ash - 99% Airlume combed and ring-spun cotton, 1% poly)</span></p>
<p><img src=""//cdn.shopify.com/s/files/1/1714/2171/files/UNISEX_XS-4XL_a6dc02a8-80fb-471b-b1d7-e7676092e4e1_large.jpg?v=1565055851"" alt=""""> </p>
<p><strong><em>100% NO SWEATSHOPS &amp; ECO-FRIENDLY PRODUCTION</em></strong></p>
<p> </p>",Super Happytime Death Machine,"","",true,Size,SMALL,,,,,"",0.0,shopify,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/1714/2171/products/Artboard2copy2Year0.jpg?v=1594773445,1,,false,,,,,,,,,,,,,,,,,lb,,12.88,active
flowers-for-a-mr-death-machine,,,,,,,,MEDIUM,,,,,"",0.0,shopify,deny,manual,22.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,12.88,
flowers-for-a-mr-death-machine,,,,,,,,LARGE,,,,,"",0.0,shopify,deny,manual,22.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,12.88,
flowers-for-a-mr-death-machine,,,,,,,,EXTRA LARGE,,,,,"",0.0,shopify,deny,manual,22.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,12.88,
whoops-all-death-machine-coaches-jacket,Oops All Death Machine Coaches Jacket,"<p><strong>Grants +2 Charisma +1 Strength and Protection from Cold. For fans of Death Machine, we offer this Jacket. </strong></p>
<p><strong>What's this? A beautifully crafted Jacket, marked in white, and adorned with snappy buttons. Whoever this Death Machine is, must be very important. You take the jacket, put it on, and are overcome by its </strong><b>burgundy beauty; perhaps you will wear this on our next journey, you think to yourself? The jacket flies off your back and into the cart where it awaits payment. </b> <br><meta charset=""utf-8""></p>
<ul>
<li>100% nylon 330D with Interior PU waterproof coating</li>
<li>Nylon Outer Shell: Waterproof Coating = Level 3</li>
<li>Inner PU Coating: Breath-ability/Permeability = 5,000</li>
<li>10K: Waterproof rating 10,000 mm: Moderate moisture resistance, best for light rain or moderate snowfall in dry cool climates.<br>
</li>
<li>Self neck tape</li>
<li>Antique brass eyelets</li>
<li>Antique brass 6 snap front closure</li>
<li>Elastic cuffs</li>
<li>Underarm grommets</li>
<li>Drawcord closure at bottom opening</li>
<li>Standard fit</li>
</ul>",Super Happytime Death Machine,"","",true,Size,SMALL,,,,,"",0.0,shopify,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/1714/2171/products/Artboard2copy12Year0.jpg?v=1594772819,1,,false,,,,,,,,,,,,,,,,,lb,,27.00,active
whoops-all-death-machine-coaches-jacket,,,,,,,,MEDIUM,,,,,"",0.0,shopify,deny,manual,60.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,27.00,
whoops-all-death-machine-coaches-jacket,,,,,,,,LARGE,,,,,"",0.0,shopify,deny,manual,60.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,27.00,
whoops-all-death-machine-coaches-jacket,,,,,,,,EXTRA LARGE,,,,,"",0.0,shopify,deny,manual,60.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,27.00,
shdm-tee,SHDM LOGO TEE - Lilac,"<p><strong>Grants +1 Agility +2 Constitution and Protection from Cold. For fans of logo tees we offer this shirt. Magical Powers surge through you as you purchase this most excellent shirt. Accurate and incredibly boring information is listed below. Choose Wisely. </strong></p>
<p><span>This updated essential unisex jersey t-shirt fits like a well-loved favorite, featuring a crew neck, short sleeves and designed with superior Airlume combed and ring-spun cotton.</span><br><br>Features: Side-seamed. Retail fit. Unisex sizing. Shoulder taping.<br><br>Solid Colors: <span>100% Airlume combed and ring-spun cotton, 32 single 4.2 oz. (Ash - 99% Airlume combed and ring-spun cotton, 1% poly)</span></p>
<p><img src=""//cdn.shopify.com/s/files/1/1714/2171/files/UNISEX_XS-4XL_a6dc02a8-80fb-471b-b1d7-e7676092e4e1_large.jpg?v=1565055851"" alt=""""> </p>
<p><strong><em>100% NO SWEATSHOPS &amp; ECO-FRIENDLY PRODUCTION</em></strong></p>
<p> </p>",Super Happytime Death Machine,"","",true,Size,SMALL,,,,,"",0.0,shopify,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/1714/2171/products/Artboard-2-copy-26Year-0.jpg?v=1600393290,1,,false,,,,,,,,,,,,,,,,,lb,,12.88,active
shdm-tee,,,,,,,,MEDIUM,,,,,"",0.0,shopify,deny,manual,25.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,12.88,
shdm-tee,,,,,,,,LARGE,,,,,"",0.0,shopify,deny,manual,25.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,12.88,
